연도,시도,전체 생존,전체 생존율,전체 표준화 생존률,질병 생존,질병 생존율,질병 표준화 생존률,질병외 생존,질병외 생존율,질병외 표준화 생존률
2016,세종,14,11.9,9.3,11,13.9,13.6,3.0,7.9,6.0
2016,부산,174,9.1,10.1,145,9.8,13.2,26.0,6.3,5.8
2016,대전,59,8.4,9.3,52,10.0,11.7,7.0,4.0,4.0
2016,경북,92,4.3,4.8,84,5.4,7.3,8.0,1.4,1.4
2016,인천,125,8.2,8.9,110,9.6,11.6,15.0,4.0,4.5
2016,광주,58,9.2,10.1,50,10.3,13.3,8.0,5.6,5.0
2016,충남,90,6.1,7.0,66,6.4,7.9,24.0,5.7,5.8
2016,경기,491,8.2,9.0,423,9.2,12.3,68.0,5.0,5.2
2016,서울,512,11.4,12.9,445,12.4,16.4,66.0,7.5,7.8
2016,충북,67,5.3,6.1,59,6.7,10.2,8.0,2.1,2.6
2016,강원,85,6.1,7.8,61,6.0,10.6,24.0,6.4,6.9
2016,제주,39,6.2,7.6,29,6.3,9.7,10.0,6.3,6.9
2016,울산,55,10.9,10.9,45,12.7,14.2,10.0,7.3,7.8
2016,대구,92,7.0,8.1,86,8.5,11.1,6.0,2.1,2.3
2016,경남,110,5.5,6.4,90,6.3,9.3,18.0,3.5,3.6
2016,전남,71,4.7,5.5,59,5.5,8.6,12.0,2.8,2.8
2016,전북,69,5.1,6.2,59,6.1,8.8,10.0,2.7,2.4
2017,전북,88,6.5,7.7,78,8.4,11.4,10.0,2.5,2.6
2017,충북,76,6.2,7.3,66,7.5,10.4,10.0,2.9,3.2
2017,대구,103,8.0,9.5,90,8.8,11.4,12.0,4.9,5.8
2017,대전,63,9.8,10.1,56,11.7,14.1,7.0,4.3,4.7
2017,울산,57,11.4,11.9,51,13.6,16.2,6.0,5.0,3.7
2017,경남,133,6.7,7.3,117,8.1,10.0,15.0,2.9,3.0
2017,인천,164,11.3,12.7,136,11.9,15.8,28.0,9.2,10.2
2017,부산,184,9.9,10.5,154,10.8,13.3,29.0,7.1,7.0
2017,충남,105,6.7,8.0,86,7.9,10.1,19.0,4.2,3.8
2017,광주,64,10.3,10.7,50,11.2,12.7,14.0,8.1,7.8
2017,경북,89,4.1,5.5,76,4.9,8.5,12.0,2.2,2.2
2017,제주,37,5.8,7.8,30,6.0,10.8,7.0,5.5,5.1
2017,세종,10,9.0,9.8,9,11.8,13.7,1.0,3.4,2.3
2017,전남,80,5.1,6.3,64,5.7,8.5,14.0,3.2,3.1
2017,경기,591,10.1,11.4,497,11.2,14.5,94.0,6.8,6.9
2017,서울,567,12.7,14.3,496,13.7,17.5,67.0,7.9,7.8
2017,강원,86,6.2,7.6,69,6.9,10.8,17.0,4.6,4.3
2018,전남,109,7.1,8.6,92,8.3,13.3,17.0,4.0,4.0
2018,세종,15,10.9,11.1,12,14.0,14.8,3.0,6.1,2.9
2018,광주,66,11.6,13.0,53,12.6,19.8,13.0,9.0,8.9
2018,충북,89,7.1,8.5,69,7.8,12.6,20.0,5.8,5.1
2018,경북,109,5.0,6.2,89,5.8,9.2,20.0,3.1,3.2
2018,전북,83,6.4,7.5,71,7.9,11.4,11.0,2.9,2.6
2018,인천,151,9.7,10.4,133,11.4,14.1,18.0,4.8,5.5
2018,울산,56,9.8,9.8,50,12.0,12.9,6.0,4.0,3.6
2018,경기,581,8.9,10.3,508,10.1,13.9,73.0,5.0,5.3
2018,서울,564,12.1,14.3,506,13.5,17.8,57.0,6.4,7.0
2018,충남,119,7.0,8.1,94,8.0,10.4,24.0,4.6,4.8
2018,제주,41,6.2,8.5,32,6.3,9.9,8.0,5.6,6.4
2018,강원,91,6.5,8.2,78,7.6,11.3,13.0,3.5,3.4
2018,대구,109,8.2,9.5,93,8.7,13.6,16.0,6.2,5.6
2018,경남,158,7.2,8.4,134,8.4,12.0,24.0,4.1,3.9
2018,대전,70,9.8,11.5,65,12.1,17.6,5.0,2.9,4.0
2018,부산,171,9.0,10.5,147,10.0,14.0,24.0,5.8,4.9
2019,제주,50,8.0,11.0,43,8.8,13.0,,,
2019,경기,653,9.6,10.9,568,10.8,14.5,79.0,5.2,5.6
2019,경북,123,5.8,7.2,102,6.2,9.3,21.0,4.3,4.8
2019,대전,79,10.7,12.8,71,12.6,18.4,,,
2019,전북,85,6.2,7.4,76,7.8,12.2,,,
2019,충북,96,7.2,8.3,80,8.0,11.6,16.0,4.8,4.5
2019,대구,112,8.7,10.6,103,10.2,15.1,,,
2019,광주,74,11.5,12.1,66,13.7,16.6,,,
2019,인천,157,10.2,11.5,137,11.5,15.4,20.0,5.8,5.7
2019,세종,14,13.5,12.1,14,18.7,16.4,,,
2019,충남,115,6.6,8.2,93,7.5,12.6,21.0,4.3,4.2
2019,부산,192,9.6,10.7,171,10.7,13.1,21.0,5.3,4.6
2019,전남,94,5.8,7.3,77,6.4,9.5,16.0,3.8,4.3
2019,경남,124,6.4,7.6,108,7.7,11.2,16.0,3.1,3.8
2019,울산,51,8.2,8.7,46,9.7,12.0,,,
2019,강원,109,7.8,9.1,91,9.0,14.1,18.0,4.6,4.3
2019,서울,495,11.3,13.4,434,12.4,16.7,41.0,5.3,5.9
